

Column name          Type                                    Nulls

cmco_product         char(40)                                yes
cmco_company         char(4)                                 yes
cmco_taxcode         char(1)                                 yes
cmco_sellpr          float                                   yes
cmco_servchg         float                                   yes
cmco_notsale         char(1)                                 yes
cmco_rellev          char(4)                                 yes
cmco_newdate         date                                    yes
cmco_tcode           integer                                 yes
cmco_author          char(10)                                yes
cmco_cstgrp          char(4)                                 yes
cmco_comrate         char(4)                                 yes
cmco_costsupp        float                                   yes
cmco_suppcurr        char(4)                                 yes
cmco_cat             char(1)                                 yes
cmco_loc             char(5)                                 yes
cmco_projcode        char(4)                                 yes
cmco_supplier        char(10)                                yes
cmco_protect         char(1)                                 yes
cmco_code1           char(5)                                 yes
cmco_code2           char(5)                                 yes
cmco_code3           char(5)                                 yes
cmco_code4           char(5)                                 yes
cmco_code5           char(5)                                 yes
cmco_code6           char(5)                                 yes
cmco_persu           float                                   yes
cmco_spriuom         char(1)                                 yes
cmco_points          float                                   yes
cmco_suom1           char(1)                                 yes
cmco_conv1           float                                   yes
cmco_suom2           char(2)                                 yes
cmco_conv2           float                                   yes
cmco_dorder          char(1)                                 yes
cmco_perpu           float                                   yes
cmco_ppriuom         char(1)                                 yes
cmco_lastcost        float                                   yes
cmco_lastdate        date                                    yes
cmco_prodsupp        char(1)                                 yes
cmco_convert         float                                   yes
cmco_curcost         float                                   yes
cmco_newcost         float                                   yes
cmco_puom            char(1)                                 yes
cmco_nodelwks        float                                   yes
cmco_recinsp         char(1)                                 yes
cmco_insper          smallint                                yes
cmco_pordmult        float                                   yes
cmco_setdisc         char(1)                                 yes
cmco_recprint        char(1)                                 yes
cmco_inspperc        smallfloat                              yes
cmco_inspminq        float                                   yes
cmco_compref         char(30)                                yes
cmco_autoalloc       char(1)                                 yes
cmco_prodprice       char(40)                                yes
cmco_acclist         char(40)                                yes
cmco_manalloc        char(1)                                 yes
cmco_desprint        char(1)                                 yes
cmco_packuse         char(1)                                 yes
cmco_pdisc           char(4)                                 yes
cmco_packsze         float                                   yes
cmco_packdisc        float                                   yes
cmco_pminqty         float                                   yes
cmco_hiprofit        float                                   yes
cmco_loprofit        float                                   yes
cmco_pigrp           char(3)                                 yes
cmco_reelsize        float                                   yes
cmco_chkmoq          char(1)                                 yes
cmco_chkmult         char(1)                                 yes
cmco_salint          smallint                                yes

