

Column name          Type                                    Nulls

cmpar_key            char(1)                                 yes
cmpar_longfile       char(1)                                 yes
cmpar_prodcoy        char(4)                                 yes
cmpar_enquiry        char(1)                                 yes
cmpar_enqstart       smallint                                yes
cmpar_gllocmlev      smallint                                yes
cmpar_glloclenm      smallint                                yes
cmpar_costuse        char(1)                                 yes
cmpar_conc           char(1)                                 yes
cmpar_notepad        char(8)                                 yes
cmpar_separator      char(1)                                 yes
cmpar_storesep       char(1)                                 yes
cmpar_elem1len       smallint                                yes
cmpar_elem2len       smallint                                yes
cmpar_elem3len       smallint                                yes
cmpar_elem4len       smallint                                yes
cmpar_elem5len       smallint                                yes
cmpar_elem6len       smallint                                yes
cmpar_elem1type      char(1)                                 yes
cmpar_elem2type      char(1)                                 yes
cmpar_elem3type      char(1)                                 yes
cmpar_elem4type      char(1)                                 yes
cmpar_elem5type      char(1)                                 yes
cmpar_elem6type      char(1)                                 yes
cmpar_elem1val       char(1)                                 yes
cmpar_elem2val       char(1)                                 yes
cmpar_elem3val       char(1)                                 yes
cmpar_elem4val       char(1)                                 yes
cmpar_elem5val       char(1)                                 yes
cmpar_elem6val       char(1)                                 yes
cmpar_elem1fill      char(1)                                 yes
cmpar_elem2fill      char(1)                                 yes
cmpar_elem3fill      char(1)                                 yes
cmpar_elem4fill      char(1)                                 yes
cmpar_elem5fill      char(1)                                 yes
cmpar_elem6fill      char(1)                                 yes
cmpar_name1          char(20)                                yes
cmpar_name2          char(20)                                yes
cmpar_name3          char(20)                                yes
cmpar_name4          char(20)                                yes
cmpar_name5          char(20)                                yes
cmpar_name6          char(20)                                yes
cmpar_desc1bld       char(6)                                 yes
cmpar_desc2bld       char(6)                                 yes
cmpar_desc3bld       char(6)                                 yes
cmpar_desc4bld       char(6)                                 yes
cmpar_desc5bld       char(6)                                 yes
cmpar_desc6bld       char(6)                                 yes
cmpar_enqsrch        char(6)                                 yes
cmpar_extmaint       char(1)                                 yes
cmpar_xrfile         char(1)                                 yes
cmpar_elem2idx       char(1)                                 yes
cmpar_elem3idx       char(1)                                 yes
cmpar_elem4idx       char(1)                                 yes
cmpar_elem5idx       char(1)                                 yes
cmpar_elem6idx       char(1)                                 yes
cmpar_resources      char(1)                                 yes
cmpar_pricedp        smallint                                yes
cmpar_defcost        char(1)                                 yes
cmpar_deftrace       char(1)                                 yes
cmpar_defserial      char(1)                                 yes
cmpar_wtunit         char(1)                                 yes
cmpar_altwtunit      char(1)                                 yes
cmpar_wtconv         float                                   yes
cmpar_wtvar          float                                   yes
cmpar_conchar        char(10)                                yes
cmpar_dumgrp         char(4)                                 yes
cmpar_defdterm       char(3)                                 yes
cmpar_poprod         char(1)                                 yes
cmpar_accrules       char(1)                                 yes
cmpar_rcomprod       char(1)                                 yes
cmpar_charanal       smallint                                yes
cmpar_compser        char(1)                                 yes
cmpar_mandser        char(1)                                 yes

