

Column name          Type                                    Nulls

cmp_product          char(40)                                yes
cmp_desc             char(40)                                yes
cmp_group            char(4)                                 yes
cmp_perpu            float                                   yes
cmp_persu            float                                   yes
cmp_lastcost         float                                   yes
cmp_lastdate         date                                    yes
cmp_tcode            integer                                 yes
cmp_prodsupp         char(1)                                 yes
cmp_status           char(1)                                 yes
cmp_alternate        char(40)                                yes
cmp_convert          float                                   yes
cmp_curcost          float                                   yes
cmp_decimals         smallint                                yes
cmp_newdate          date                                    yes
cmp_newcost          float                                   yes
cmp_puom             char(1)                                 yes
cmp_suom             char(1)                                 yes
cmp_type             char(1)                                 yes
cmp_topassem         char(1)                                 yes
cmp_taxcode          char(1)                                 yes
cmp_nodelwks         float                                   yes
cmp_lkspcode         char(22)                                yes
cmp_luckpin          char(1)                                 yes
cmp_sellpr           float                                   yes
cmp_points           float                                   yes
cmp_weight           float                                   yes
cmp_vol              float                                   yes
cmp_projcode         char(4)                                 yes
cmp_category         char(4)                                 yes
cmp_manu             char(30)                                yes
cmp_usage            char(4)                                 yes
cmp_pdisc            char(4)                                 yes
cmp_prodprice        char(40)                                yes
cmp_suom1            char(1)                                 yes
cmp_conv1            float                                   yes
cmp_suom2            char(1)                                 yes
cmp_conv2            float                                   yes
cmp_recinsp          char(1)                                 yes
cmp_fininsp          char(1)                                 yes
cmp_insper           smallint                                yes
cmp_shelflife        smallint                                yes
cmp_seriali          char(1)                                 yes
cmp_batched          char(1)                                 yes
cmp_pordmult         float                                   yes
cmp_pminqty          float                                   yes
cmp_autoalloc        char(1)                                 yes
cmp_desprint         char(1)                                 yes
cmp_acclist          char(40)                                yes
cmp_setdisc          char(1)                                 yes
cmp_recprint         char(1)                                 yes
cmp_supp             char(10)                                yes
cmp_chcat            char(1)                                 yes
cmp_dorder           char(1)                                 yes
cmp_ordstat          char(1)                                 yes
cmp_ppriuom          char(1)                                 yes
cmp_spriuom          char(1)                                 yes
cmp_req              char(1)                                 yes
cmp_bought           char(1)                                 yes
cmp_serrang          char(1)                                 yes
cmp_tfrmult          float                                   yes
cmp_commodity        char(11)                                yes
cmp_wghtkg           float                                   yes
cmp_suppunit         float                                   yes
cmp_protect          char(1)                                 yes
cmp_costsupp         float                                   yes
cmp_suppcurr         char(4)                                 yes
cmp_loc              char(5)                                 yes
cmp_unique           char(1)                                 yes
cmp_dutiable         char(1)                                 yes
cmp_dutycod          char(4)                                 yes
cmp_alcohol          smallfloat                              yes
cmp_packsze          float                                   yes
cmp_packuse          char(1)                                 yes
cmp_template         char(1)                                 yes
cmp_packdisc         float                                   yes
cmp_autsacc          char(1)                                 yes
cmp_time             float                                   yes
cmp_pack             char(10)                                yes
cmp_restrict         char(1)                                 yes
cmp_doctype          char(4)                                 yes
cmp_extdocnam        char(11)                                yes
cmp_dused            char(1)                                 yes
cmp_sdensity         float                                   yes
cmp_sgratio          float                                   yes
cmp_stuomtype        char(1)                                 yes
cmp_sqty             float                                   yes
cmp_muom             char(1)                                 yes
cmp_mconv            float                                   yes
cmp_muomtype         char(1)                                 yes
cmp_config           char(1)                                 yes
cmp_cprice           char(1)                                 yes
cmp_prctdp           smallint                                yes
cmp_special          char(1)                                 yes
cmp_canal            char(1)                                 yes
cmp_manalloc         char(1)                                 yes
cmp_code1            char(5)                                 yes
cmp_code2            char(5)                                 yes
cmp_code3            char(5)                                 yes
cmp_costplus         char(1)                                 yes
cmp_percup           float                                   yes
cmp_rellev           char(4)                                 yes
cmp_pksplay          float                                   yes
cmp_layppal          float                                   yes
cmp_reelsize         float                                   yes
cmp_servprod         char(40)                                yes
cmp_servchg          float                                   yes
cmp_revlevel         char(10)                                yes
cmp_procsys          char(1)                                 yes
cmp_para             char(10)                                yes
cmp_sellwt           char(1)                                 yes
cmp_strack           char(1)                                 yes
cmp_saover           char(1)                                 yes
cmp_pocascade        char(1)                                 yes
cmp_sersell          char(1)                                 yes
cmp_cnfcalc          char(1)                                 yes
cmp_mustsel          char(1)                                 yes
cmp_code4            char(5)                                 yes
cmp_code5            char(5)                                 yes
cmp_code6            char(5)                                 yes
cmp_sercost          char(1)                                 yes
cmp_exchcost         float                                   yes
cmp_cat              char(1)                                 yes
cmp_netttype         char(1)                                 yes
cmp_netorder         char(1)                                 yes
cmp_netpdisc         char(1)                                 yes
cmp_netset           char(1)                                 yes
cmp_notsale          char(1)                                 yes
cmp_discnt           char(1)                                 yes
cmp_author           char(10)                                yes
cmp_cstgrp           char(4)                                 yes
cmp_comrate          char(4)                                 yes
cmp_inspperc         smallfloat                              yes
cmp_inspminq         float                                   yes
cmp_autall           char(1)                                 yes
cmp_billearly        char(1)                                 yes
cmp_suppwarr         char(10)                                yes
cmp_custwarr         char(10)                                yes
cmp_stage            char(4)                                 yes
cmp_wotime           float                                   yes
cmp_compdem          char(1)                                 yes
cmp_coocode          char(2)                                 yes
cmp_coccode          char(25)                                yes
cmp_cociss           char(4)                                 yes
cmp_anwt             char(2)                                 yes
cmp_anjob            char(10)                                yes
cmp_ansubcode        char(5)                                 yes
cmp_cnfprice         char(1)                                 yes
cmp_vanarea          char(4)                                 yes
cmp_tmaction         char(1)                                 yes
cmp_expall           char(1)                                 yes
cmp_reelcode         char(1)                                 yes
cmp_purwt            char(1)                                 yes
cmp_cccpost          char(1)                                 yes
cmp_dgclass          char(5)                                 yes
cmp_dgrclass         char(10)                                yes
cmp_dglclass         char(2)                                 yes
cmp_dguncode         char(6)                                 yes
cmp_statcode         char(15)                                yes
cmp_dglabel          char(10)                                yes
cmp_salcomm          float                                   yes
cmp_compref          char(30)                                yes
cmp_reldate          date                                    yes
cmp_nettbill         float                                   yes
cmp_mincos           float                                   yes
