

Column name          Type                                    Nulls

dlcus_customer       char(10)                                yes
dlcus_ndcode         char(10)                                yes
dlcus_limit          float                                   yes
dlcus_balance        float                                   yes
dlcus_dateopen       date                                    yes
dlcus_lastpurch      date                                    yes
dlcus_lastpay        date                                    yes
dlcus_terms          char(4)                                 yes
dlcus_area           char(4)                                 yes
dlcus_rep            char(4)                                 yes
dlcus_stop           char(1)                                 yes
dlcus_group          char(10)                                yes
dlcus_minordec       char(1)                                 yes
dlcus_codestr        char(10)                                yes
dlcus_srrepname      char(9)                                 yes
dlcus_nodays         smallint                                yes
dlcus_condate        date                                    yes
dlcus_report         char(1)                                 yes
dlcus_vatexempt      char(1)                                 yes
dlcus_sporder        char(1)                                 yes
dlcus_maxlines       smallint                                yes
dlcus_rateup         char(1)                                 yes
dlcus_currency       char(4)                                 yes
dlcus_vanarea        char(4)                                 yes
dlcus_loc            char(5)                                 yes
dlcus_class          char(4)                                 yes
dlcus_statement      char(1)                                 yes
dlcus_back           char(1)                                 yes
dlcus_partdel        char(1)                                 yes
dlcus_partinv        char(1)                                 yes
dlcus_acknow         char(1)                                 yes
dlcus_transpcod      char(1)                                 yes
dlcus_sepinvord      char(1)                                 yes
dlcus_comdel         char(1)                                 yes
dlcus_prospect       char(1)                                 yes
dlcus_plist          char(1)                                 yes
dlcus_cdisc          char(1)                                 yes
dlcus_spinvdel       char(1)                                 yes
dlcus_alphacode      char(10)                                yes
dlcus_letgrp         char(1)                                 yes
dlcus_letlast        char(1)                                 yes
dlcus_letdate        date                                    yes
dlcus_grpaccind      char(1)                                 yes
dlcus_lastcsh        float                                   yes
dlcus_pdtran         char(10)                                yes
dlcus_cdtran         char(10)                                yes
dlcus_invform        char(8)                                 yes
dlcus_expform        char(1)                                 yes
dlcus_impform        char(1)                                 yes
dlcus_sprcode        char(10)                                yes
dlcus_stdcode        char(10)                                yes
dlcus_ordpri         char(1)                                 yes
dlcus_country        char(2)                                 yes
dlcus_txregno        char(15)                                yes
dlcus_paymeth        char(1)                                 yes
dlcus_payee          char(10)                                yes
dlcus_cvrate         float                                   yes
dlcus_credcont       char(4)                                 yes
dlcus_commdates      char(1)                                 yes
dlcus_div            char(4)                                 yes
dlcus_packuse        char(1)                                 yes
dlcus_packdisc       float                                   yes
dlcus_grptype        char(1)                                 yes
dlcus_mintpsord      float                                   yes
dlcus_dlvnone        char(1)                                 yes
dlcus_exinv          char(1)                                 yes
dlcus_taxstat        char(1)                                 yes
dlcus_preferred      char(10)                                yes
dlcus_edipo          char(1)                                 yes
dlcus_editran        char(14)                                yes
dlcus_appacc         char(10)                                yes
dlcus_inslim         float                                   yes
dlcus_uninslim       float                                   yes
dlcus_repgen         char(1)                                 yes
dlcus_authord        char(1)                                 yes
dlcus_obmaxanal      smallint                                yes
dlcus_obperiod       char(1)                                 yes
dlcus_obnumber       smallint                                yes
dlcus_obtopprod      smallint                                yes
dlcus_obseq          char(1)                                 yes
dlcus_soedibox       char(20)                                yes
dlcus_code1          char(4)                                 yes
dlcus_code2          char(4)                                 yes
dlcus_code3          char(4)                                 yes
dlcus_code4          char(4)                                 yes
dlcus_code5          char(4)                                 yes
dlcus_cidref         char(10)                                yes
dlcus_cocreq         char(1)                                 yes
dlcus_cocchg         char(1)                                 yes
dlcus_pdate          char(1)                                 yes
dlcus_prodcat        char(10)                                yes
dlcus_delterm        char(3)                                 yes
dlcus_sreel          char(1)                                 yes
dlcus_refreqd        char(2)                                 yes
dlcus_setnet         char(1)                                 yes
dlcus_prtype         char(1)                                 yes
dlcus_l1format       char(9)                                 yes
dlcus_l2format       char(9)                                 yes
dlcus_l3format       char(9)                                 yes
dlcus_lqformat       char(2)                                 yes
dlcus_overdue        integer                                 yes
dlcus_pctype         char(1)                                 yes
dlcus_antcode        integer                                 yes
