

Column name          Type                                    Nulls

glpar_key            char(1)                                 yes
glpar_acctlen        smallint                                yes
glpar_p1len          smallint                                yes
glpar_p1type         char(1)                                 yes
glpar_p2len          smallint                                yes
glpar_p2type         char(1)                                 yes
glpar_p3len          smallint                                yes
glpar_p3type         char(1)                                 yes
glpar_p4len          smallint                                yes
glpar_p4type         char(1)                                 yes
glpar_p5len          smallint                                yes
glpar_p5type         char(1)                                 yes
glpar_p6len          smallint                                yes
glpar_p6type         char(1)                                 yes
glpar_p7len          smallint                                yes
glpar_p7type         char(1)                                 yes
glpar_retain         char(15)                                yes
glpar_maxper         smallint                                yes
glpar_year           smallint                                yes
glpar_curper         smallint                                yes
glpar_consolid       char(4)                                 yes
glpar_history        char(1)                                 yes
glpar_pllist         char(20)                                yes
glpar_bslist         char(20)                                yes
glpar_listbat        char(1)                                 yes
glpar_summary        char(1)                                 yes
glpar_plnumber       smallint                                yes
glpar_master         char(4)                                 yes
glpar_proofreq       char(1)                                 yes
glpar_maxlev         smallint                                yes
glpar_pendreq        char(1)                                 yes
glpar_desc           char(20)                                yes
glpar_intref         integer                                 yes
glpar_intprefix      char(4)                                 yes
glpar_intercoac      char(15)                                yes
glpar_currency       char(4)                                 yes
glpar_multicurr      char(1)                                 yes
glpar_autobatch      integer                                 yes
glpar_consrate       float                                   yes
glpar_a1desc         char(20)                                yes
glpar_a2desc         char(20)                                yes
glpar_ancons         char(1)                                 yes
glpar_cvover         char(1)                                 yes
glpar_cvalloc        char(1)                                 yes
glpar_divused        char(1)                                 yes
glpar_divmod         smallint                                yes
glpar_divmlen        smallint                                yes
glpar_headdiv        char(4)                                 yes
glpar_selfdiv        char(1)                                 yes
glpar_interdiac      char(15)                                yes
glpar_interbkac      char(15)                                yes
glpar_roldate        char(1)                                 yes
glpar_workweek       char(7)                                 yes
glpar_cvcomp         char(4)                                 yes
glpar_pcproc         char(1)                                 yes
glpar_proofpag       integer                                 yes
glpar_prftran        smallint                                yes
glpar_proofseq       integer                                 yes
glpar_prfcred        float                                   yes
glpar_prfdeb         float                                   yes
glpar_stpacc         char(15)                                yes
glpar_fixsett        char(1)                                 yes
glpar_seqdocs        char(1)                                 yes
glpar_prepmand       char(1)                                 yes
glpar_payterm        char(1)                                 yes
glpar_ancurr         char(4)                                 yes

