

Column name          Type                                    Nulls

plsup_supplier       char(10)                                yes
plsup_branch         char(4)                                 yes
plsup_ndcode         char(10)                                yes
plsup_payee          char(10)                                yes
plsup_limit          float                                   yes
plsup_balance        float                                   yes
plsup_type           char(1)                                 yes
plsup_remit          char(1)                                 yes
plsup_termcode       char(4)                                 yes
plsup_dateopen       date                                    yes
plsup_lastpurch      date                                    yes
plsup_lastpay        date                                    yes
plsup_stop           char(2)                                 yes
plsup_currency       char(4)                                 yes
plsup_defgl          char(15)                                yes
plsup_alphacode      char(10)                                yes
plsup_printpo        char(1)                                 yes
plsup_country        char(2)                                 yes
plsup_txregno        char(15)                                yes
plsup_ecfreight      char(1)                                 yes
plsup_transpcod      char(1)                                 yes
plsup_cvrate         float                                   yes
plsup_quotvar        smallfloat                              yes
plsup_claim          integer                                 yes
plsup_payrun         char(4)                                 yes
plsup_div            char(4)                                 yes
plsup_noremit        smallint                                yes
plsup_pdtran         char(10)                                yes
plsup_cdtran         char(10)                                yes
plsup_expform        char(1)                                 yes
plsup_impform        char(1)                                 yes
plsup_safebuff       smallint                                yes
plsup_sdtype         char(1)                                 yes
plsup_coregni        char(20)                                yes
plsup_remdel         char(1)                                 yes
plsup_mngrid         char(4)                                 yes
plsup_sdexp          char(1)                                 yes
plsup_sdimp          char(1)                                 yes
plsup_sdmargin       float                                   yes
plsup_rating         char(1)                                 yes
plsup_datechk        char(1)                                 yes
plsup_delterm        char(3)                                 yes
plsup_deals          char(1)                                 yes
plsup_spdedi         char(1)                                 yes
plsup_edirep1        integer                                 yes
plsup_buyer          char(4)                                 yes
plsup_pctype         char(1)                                 yes
plsup_vat            char(1)                                 yes
plsup_master         char(1)                                 yes
plsup_shipmeth       char(4)                                 yes
plsup_pptype         char(1)                                 yes
plsup_ppdays         smallint                                yes
plsup_sddays         smallint                                yes
plsup_docreg         char(1)                                 yes
plsup_barlyt         char(4)                                 yes
plsup_priceloc       char(5)                                 yes
plsup_plupper        float                                   yes
plsup_lang           char(2)                                 yes
plsup_netsusp        char(15)                                yes
plsup_nettbill       float                                   yes
plsup_mincos         float                                   yes
plsup_fixcos         float                                   yes
plsup_sretcost       float                                   yes
plsup_crtcost        float                                   yes
plsup_shldcost       float                                   yes
plsup_trcurr         char(4)                                 yes
plsup_acanal         char(1)                                 yes
plsup_spdref         char(13)                                yes
plsup_ackdays        integer                                 yes
plsup_transit        integer                                 yes
plsup_prcopies       integer                                 yes

