

Column name          Type                                    Nulls

pog_order            char(13)                                yes
pog_line             smallint                                yes
pog_seq              smallint                                yes
pog_product          char(40)                                yes
pog_delref           char(8)                                 yes
pog_mrref            char(8)                                 yes
pog_deldate          date                                    yes
pog_delyear          smallint                                yes
pog_delper           smallint                                yes
pog_invdate          date                                    yes
pog_invyear          smallint                                yes
pog_invper           smallint                                yes
pog_delqty           float                                   yes
pog_invqty           float                                   yes
pog_delvalue         float                                   yes
pog_invvalue         float                                   yes
pog_costed           float                                   yes
pog_costmeth         char(1)                                 yes
pog_costcode         char(15)                                yes
pog_wt               char(2)                                 yes
pog_subcode          char(4)                                 yes
pog_tcode            integer                                 yes
pog_perunit          float                                   yes
pog_uomdesc          char(1)                                 yes
pog_price            float                                   yes
pog_discper          float                                   yes
pog_grnproof         smallint                                yes
pog_invproof         smallint                                yes
pog_userid           char(4)                                 yes
pog_invquery         char(1)                                 yes
pog_invno            char(8)                                 yes
pog_supplier         char(10)                                yes
pog_desc             char(40)                                yes
pog_batch            integer                                 yes
pog_bin              char(10)                                yes
pog_bdelvalue        float                                   yes
pog_binvvalue        float                                   yes
pog_bcosted          float                                   yes
pog_reqdate          date                                    yes
pog_ccost            float                                   yes
pog_ccqty            float                                   yes
pog_shipped          char(1)                                 yes
pog_status           char(1)                                 yes
pog_recprint         char(1)                                 yes
pog_stacc1           char(1)                                 yes
pog_overh1           float                                   yes
pog_stacc2           char(1)                                 yes
pog_overh2           float                                   yes
pog_sdelqty          float                                   yes
pog_sinvqty          float                                   yes
pog_reqno            char(8)                                 yes
pog_lineno           integer                                 yes
pog_rmseq            integer                                 yes
pog_overp1           smallfloat                              yes
pog_overp2           smallfloat                              yes
pog_origseq          smallint                                yes
pog_adjseq           smallint                                yes
pog_memo             char(1)                                 yes
pog_credinvno        char(8)                                 yes
pog_settcost         float                                   yes
pog_streqref         char(8)                                 yes
pog_totwt            float                                   yes
pog_stacc3           char(1)                                 yes
pog_overp3           float                                   yes
pog_overh3           float                                   yes
pog_stacc4           char(1)                                 yes
pog_overp4           float                                   yes
pog_glacc1           char(15)                                yes
pog_glacc2           char(15)                                yes
pog_glacc3           char(15)                                yes
pog_glacc4           char(15)                                yes
pog_varacc           char(15)                                yes
pog_overh4           float                                   yes
pog_shover           float                                   yes
pog_shstacc          char(1)                                 yes
pog_invmode          char(1)                                 yes

