

Column name          Type                                    Nulls

popar_key            char(1)                                 yes
popar_orduse         char(1)                                 yes
popar_nextpo         integer                                 yes
popar_prodfile       char(1)                                 yes
popar_longfile       char(1)                                 yes
popar_printpo        char(1)                                 yes
popar_grnsusp        char(15)                                yes
popar_grncost        char(1)                                 yes
popar_prodcoy        char(4)                                 yes
popar_variance       float                                   yes
popar_passvar        char(8)                                 yes
popar_balcancl       float                                   yes
popar_promptcst      char(1)                                 yes
popar_varused        char(1)                                 yes
popar_grnproof       smallint                                yes
popar_invproof       smallint                                yes
popar_proofmth       char(1)                                 yes
popar_defprint       char(1)                                 yes
popar_ordprefix      char(4)                                 yes
popar_retprefix      char(4)                                 yes
popar_ordapp         char(1)                                 yes
popar_delcha         char(1)                                 yes
popar_grnvar         char(1)                                 yes
popar_delperc        float                                   yes
popar_ack            char(1)                                 yes
popar_invapp         char(1)                                 yes
popar_analysis       char(1)                                 yes
popar_mrs            char(1)                                 yes
popar_lineint        smallint                                yes
popar_purgedays      integer                                 yes
popar_prodpurge      date                                    yes
popar_postvar        char(1)                                 yes
popar_ccred          char(1)                                 yes
popar_grnprint       char(1)                                 yes
popar_undelprt       char(1)                                 yes
popar_mrsuse         char(1)                                 yes
popar_nextmrs        integer                                 yes
popar_mrsprefix      char(4)                                 yes
popar_commcost       char(1)                                 yes
popar_overinv        char(1)                                 yes
popar_grnrep         char(9)                                 yes
popar_pttable        char(10)                                yes
popar_btprin         char(1)                                 yes
popar_curprice       char(1)                                 yes
popar_reprint        char(1)                                 yes
popar_sopref         char(1)                                 yes
popar_commit         char(1)                                 yes
popar_pricedp        smallint                                yes
popar_nextseq        integer                                 yes
popar_poprefix       char(4)                                 yes
popar_poediver       char(2)                                 yes
popar_latedel        smallint                                yes
popar_earlydel       smallint                                yes
popar_varval         float                                   yes
popar_logprice       float                                   yes
popar_logdel         smallfloat                              yes
popar_varpurge       integer                                 yes
popar_retprint       char(1)                                 yes
popar_retgen         char(1)                                 yes
popar_nextret        integer                                 yes
popar_rnoprefix      char(4)                                 yes
popar_nextdeb        integer                                 yes
popar_debprefix      char(4)                                 yes
popar_retint         smallint                                yes
popar_retpurge       integer                                 yes
popar_grnby          char(1)                                 yes
popar_invsusp        char(15)                                yes
popar_dirprint       char(1)                                 yes
popar_upgpo05        char(1)                                 yes
popar_autogrcom      char(1)                                 yes
popar_latewarn       char(1)                                 yes
popar_eardat         char(1)                                 yes
popar_autall         char(1)                                 yes
popar_auresso        char(1)                                 yes
popar_restbtb        char(1)                                 yes
popar_npriperc       float                                   yes
popar_defsupp        char(1)                                 yes
popar_inuse          char(1)                                 yes
popar_posperiod      char(1)                                 yes
popar_poretpre       char(4)                                 yes
popar_poretno        integer                                 yes
popar_impqtychg      char(1)                                 yes
popar_spdcust        char(1)                                 yes
popar_spdall         char(1)                                 yes
popar_impprchg       float                                   yes
popar_linelabel      char(1)                                 yes
popar_transit        integer                                 yes
popar_holdgoods      char(1)                                 yes
popar_po05chg        char(1)                                 yes

