

Column name          Type                                    Nulls

popr_product         char(40)                                yes
popr_supplier        char(10)                                yes
popr_supprod         char(40)                                yes
popr_lastcost        float                                   yes
popr_lastpurch       date                                    yes
popr_minqty          float                                   yes
popr_boxqty          float                                   yes
popr_tyqty           float                                   yes
popr_lyqty           float                                   yes
popr_discper         float                                   yes
popr_assord          char(1)                                 yes
popr_nodelwks        float                                   yes
popr_inspect         char(1)                                 yes
popr_qcost           float                                   yes
popr_qdate           date                                    yes
popr_qtybk1          float                                   yes
popr_qtyds1          float                                   yes
popr_qtybk2          float                                   yes
popr_qtyds2          float                                   yes
popr_dorder          char(1)                                 yes
popr_stacc1          char(1)                                 yes
popr_overh1          float                                   yes
popr_stacc2          char(1)                                 yes
popr_overh2          float                                   yes
popr_tyval           float                                   yes
popr_lyval           float                                   yes
popr_coocode         char(2)                                 yes
popr_coccode         char(25)                                yes
popr_cociss          char(4)                                 yes
popr_altprod         char(60)                                yes
popr_disctype        char(1)                                 yes
popr_cp1             float                                   yes
popr_cp2             float                                   yes
popr_cp3             float                                   yes
popr_cp4             float                                   yes
popr_cp5             float                                   yes
popr_cp6             float                                   yes
popr_cp7             float                                   yes
popr_cp8             float                                   yes
popr_cp9             float                                   yes
popr_cp10            float                                   yes
popr_qtyb3           float                                   yes
popr_qtyb4           float                                   yes
popr_qtyb5           float                                   yes
popr_qtyb6           float                                   yes
popr_qtyb7           float                                   yes
popr_qtyb8           float                                   yes
popr_qtyb9           float                                   yes
popr_qtyb10          float                                   yes
popr_dspc3           float                                   yes
popr_dspc4           float                                   yes
popr_dspc5           float                                   yes
popr_dspc6           float                                   yes
popr_dspc7           float                                   yes
popr_dspc8           float                                   yes
popr_dspc9           float                                   yes
popr_dspc10          float                                   yes
popr_stacc3          char(1)                                 yes
popr_overh3          float                                   yes
popr_stacc4          char(1)                                 yes
popr_overh4          float                                   yes
popr_glacc1          char(15)                                yes
popr_glacc2          char(15)                                yes
popr_glacc3          char(15)                                yes
popr_glacc4          char(15)                                yes
popr_dutystat        char(1)                                 yes
popr_qchdate         date                                    yes
popr_perpu           float                                   yes

