

Column name          Type                                    Nulls

sarep_type           char(1)                                 yes
sarep_code1          char(4)                                 yes
sarep_code2          char(4)                                 yes
sarep_stloc          char(5)                                 yes
sarep_yearst         smallint                                yes
sarep_budg1          float                                   yes
sarep_budg2          float                                   yes
sarep_budg3          float                                   yes
sarep_budg4          float                                   yes
sarep_budg5          float                                   yes
sarep_budg6          float                                   yes
sarep_budg7          float                                   yes
sarep_budg8          float                                   yes
sarep_budg9          float                                   yes
sarep_budg10         float                                   yes
sarep_budg11         float                                   yes
sarep_budg12         float                                   yes
sarep_budg13         float                                   yes
sarep_qty1           float                                   yes
sarep_qty2           float                                   yes
sarep_qty3           float                                   yes
sarep_qty4           float                                   yes
sarep_qty5           float                                   yes
sarep_qty6           float                                   yes
sarep_qty7           float                                   yes
sarep_qty8           float                                   yes
sarep_qty9           float                                   yes
sarep_qty10          float                                   yes
sarep_qty11          float                                   yes
sarep_qty12          float                                   yes
sarep_qty13          float                                   yes
sarep_value1         float                                   yes
sarep_value2         float                                   yes
sarep_value3         float                                   yes
sarep_value4         float                                   yes
sarep_value5         float                                   yes
sarep_value6         float                                   yes
sarep_value7         float                                   yes
sarep_value8         float                                   yes
sarep_value9         float                                   yes
sarep_val10          float                                   yes
sarep_val11          float                                   yes
sarep_val12          float                                   yes
sarep_val13          float                                   yes
sarep_cos01          float                                   yes
sarep_cos02          float                                   yes
sarep_cos03          float                                   yes
sarep_cos04          float                                   yes
sarep_cos05          float                                   yes
sarep_cos06          float                                   yes
sarep_cos07          float                                   yes
sarep_cos08          float                                   yes
sarep_cos09          float                                   yes
sarep_cos10          float                                   yes
sarep_cos11          float                                   yes
sarep_cos12          float                                   yes
sarep_cos13          float                                   yes
sarep_dsc1           float                                   yes
sarep_dsc2           float                                   yes
sarep_dsc3           float                                   yes
sarep_dsc4           float                                   yes
sarep_dsc5           float                                   yes
sarep_dsc6           float                                   yes
sarep_dsc7           float                                   yes
sarep_dsc8           float                                   yes
sarep_dsc9           float                                   yes
sarep_dsc10          float                                   yes
sarep_dsc11          float                                   yes
sarep_dsc12          float                                   yes
sarep_dsc13          float                                   yes
sarep_prodmngr       char(4)                                 yes

