

Column name          Type                                    Nulls

sat_loc              char(5)                                 yes
sat_cust             char(10)                                yes
sat_deladd           char(4)                                 yes
sat_pcode            char(40)                                yes
sat_pgroup           char(4)                                 yes
sat_category         char(4)                                 yes
sat_usage            char(4)                                 yes
sat_class            char(4)                                 yes
sat_rep              char(4)                                 yes
sat_area             char(4)                                 yes
sat_van              char(4)                                 yes
sat_icflag           char(1)                                 yes
sat_agroup           char(10)                                yes
sat_pid              integer                                 yes
sat_conc             char(55)                                yes
sat_qty1             float                                   yes
sat_qty2             float                                   yes
sat_qty3             float                                   yes
sat_qty4             float                                   yes
sat_qty5             float                                   yes
sat_qty6             float                                   yes
sat_qty7             float                                   yes
sat_qty8             float                                   yes
sat_qty9             float                                   yes
sat_qty10            float                                   yes
sat_qty11            float                                   yes
sat_qty12            float                                   yes
sat_qty13            float                                   yes
sat_val1             float                                   yes
sat_val2             float                                   yes
sat_val3             float                                   yes
sat_val4             float                                   yes
sat_val5             float                                   yes
sat_val6             float                                   yes
sat_val7             float                                   yes
sat_val8             float                                   yes
sat_val9             float                                   yes
sat_val10            float                                   yes
sat_val11            float                                   yes
sat_val12            float                                   yes
sat_val13            float                                   yes
sat_cos1             float                                   yes
sat_cos2             float                                   yes
sat_cos3             float                                   yes
sat_cos4             float                                   yes
sat_cos5             float                                   yes
sat_cos6             float                                   yes
sat_cos7             float                                   yes
sat_cos8             float                                   yes
sat_cos9             float                                   yes
sat_cos10            float                                   yes
sat_cos11            float                                   yes
sat_cos12            float                                   yes
sat_cos13            float                                   yes
sat_dsc1             float                                   yes
sat_dsc2             float                                   yes
sat_dsc3             float                                   yes
sat_dsc4             float                                   yes
sat_dsc5             float                                   yes
sat_dsc6             float                                   yes
sat_dsc7             float                                   yes
sat_dsc8             float                                   yes
sat_dsc9             float                                   yes
sat_dsc10            float                                   yes
sat_dsc11            float                                   yes
sat_dsc12            float                                   yes
sat_dsc13            float                                   yes
sat_yqty1            float                                   yes
sat_yqty2            float                                   yes
sat_yqty3            float                                   yes
sat_yqty4            float                                   yes
sat_yqty5            float                                   yes
sat_yqty6            float                                   yes
sat_yqty7            float                                   yes
sat_yqty8            float                                   yes
sat_yqty9            float                                   yes
sat_yqty10           float                                   yes
sat_yqty11           float                                   yes
sat_yqty12           float                                   yes
sat_yqty13           float                                   yes
sat_yval1            float                                   yes
sat_yval2            float                                   yes
sat_yval3            float                                   yes
sat_yval4            float                                   yes
sat_yval5            float                                   yes
sat_yval6            float                                   yes
sat_yval7            float                                   yes
sat_yval8            float                                   yes
sat_yval9            float                                   yes
sat_yval10           float                                   yes
sat_yval11           float                                   yes
sat_yval12           float                                   yes
sat_yval13           float                                   yes
sat_ycos1            float                                   yes
sat_ycos2            float                                   yes
sat_ycos3            float                                   yes
sat_ycos4            float                                   yes
sat_ycos5            float                                   yes
sat_ycos6            float                                   yes
sat_ycos7            float                                   yes
sat_ycos8            float                                   yes
sat_ycos9            float                                   yes
sat_ycos10           float                                   yes
sat_ycos11           float                                   yes
sat_ycos12           float                                   yes
sat_ycos13           float                                   yes
sat_ydsc1            float                                   yes
sat_ydsc2            float                                   yes
sat_ydsc3            float                                   yes
sat_ydsc4            float                                   yes
sat_ydsc5            float                                   yes
sat_ydsc6            float                                   yes
sat_ydsc7            float                                   yes
sat_ydsc8            float                                   yes
sat_ydsc9            float                                   yes
sat_ydsc10           float                                   yes
sat_ydsc11           float                                   yes
sat_ydsc12           float                                   yes
sat_ydsc13           float                                   yes
sat_conc2            char(40)                                yes
sat_sortval          float                                   yes
sat_qtyweek          float                                   yes
sat_valweek          float                                   yes
sat_cosweek          float                                   yes
sat_dscweek          float                                   yes
sat_qtytot           float                                   yes
sat_valtot           float                                   yes
sat_ptstot           float                                   yes
sat_wttot            float                                   yes
sat_costot           float                                   yes

