

Column name          Type                                    Nulls

soh_account          char(10)                                yes
soh_ordref           char(8)                                 yes
soh_ordver           smallint                                yes
soh_userid           char(4)                                 yes
soh_deladd           char(4)                                 yes
soh_cusref           char(25)                                yes
soh_repcode          char(4)                                 yes
soh_area             char(4)                                 yes
soh_plist            char(1)                                 yes
soh_cdisc            char(1)                                 yes
soh_orddate          date                                    yes
soh_ordtype          char(1)                                 yes
soh_reqdate          date                                    yes
soh_status           char(1)                                 yes
soh_stloc            char(5)                                 yes
soh_altloc           char(5)                                 yes
soh_neword           char(1)                                 yes
soh_delname          char(40)                                yes
soh_delad1           char(30)                                yes
soh_delad2           char(30)                                yes
soh_delad3           char(30)                                yes
soh_delad4           char(30)                                yes
soh_delad5           char(30)                                yes
soh_delpost          char(10)                                yes
soh_nextsuf          smallint                                yes
soh_acknow           char(1)                                 yes
soh_despfl           char(1)                                 yes
soh_partdel          char(1)                                 yes
soh_deltyp           char(1)                                 yes
soh_comdel           char(1)                                 yes
soh_invflag          char(1)                                 yes
soh_partinv          char(1)                                 yes
soh_ndcode           char(10)                                yes
soh_ordval           float                                   yes
soh_outvat           float                                   yes
soh_ordwght          float                                   yes
soh_ordcost          float                                   yes
soh_invval           float                                   yes
soh_export           char(1)                                 yes
soh_trcode           char(1)                                 yes
soh_transp           char(30)                                yes
soh_vanarea          char(4)                                 yes
soh_class            char(4)                                 yes
soh_sepinvord        char(1)                                 yes
soh_spinvdel         char(1)                                 yes
soh_currency         char(4)                                 yes
soh_terms            char(4)                                 yes
soh_lbulkref         integer                                 yes
soh_repnum           smallint                                yes
soh_reptim           char(1)                                 yes
soh_repint           smallint                                yes
soh_repday           smallint                                yes
soh_stopcode         char(1)                                 yes
soh_fwdflag          char(1)                                 yes
soh_payval           float                                   yes
soh_invform          char(8)                                 yes
soh_ordpri           char(1)                                 yes
soh_txregno          char(15)                                yes
soh_cvrate           float                                   yes
soh_stockdate        date                                    yes
soh_numacknow        smallint                                yes
soh_div              char(4)                                 yes
soh_origval          float                                   yes
soh_ediinv           char(1)                                 yes
soh_deltel           char(20)                                yes
soh_valdate          date                                    yes
soh_xchgrate         float                                   yes
soh_xchgvar          float                                   yes
soh_taxstat          char(1)                                 yes
soh_loadno           integer                                 yes
soh_extstat          char(1)                                 yes
soh_usesched         char(1)                                 yes
soh_wt               char(2)                                 yes
soh_job              char(10)                                yes
soh_subcode          char(4)                                 yes
soh_security         char(1)                                 yes
soh_delfax           char(20)                                yes
soh_delcon           char(30)                                yes
soh_tpacks           float                                   yes
soh_repgen           char(1)                                 yes
soh_author           char(4)                                 yes
soh_master           char(1)                                 yes
soh_mastord          char(8)                                 yes
soh_source           char(8)                                 yes
soh_custconf         char(1)                                 yes
soh_cocreq           char(1)                                 yes
soh_ref1             char(15)                                yes
soh_ref2             char(15)                                yes
soh_pdate            char(1)                                 yes
soh_delterm          char(3)                                 yes
soh_origref          char(8)                                 yes
soh_qtestatus        char(1)                                 yes
soh_qtedate          date                                    yes
soh_reason           char(1)                                 yes
soh_odisct           char(1)                                 yes
soh_odscc            char(10)                                yes
soh_credval          float                                   yes
soh_credvt           float                                   yes
soh_company          char(4)                                 yes
soh_cusndcode        char(10)                                yes
soh_cragtyp          char(6)                                 yes
soh_crprov           char(2)                                 yes
soh_authref          char(12)                                yes
soh_antcode          integer                                 yes
soh_invvat           float                                   yes
soh_hlddate          date                                    yes
soh_alldays          smallint                                yes
soh_paymeth          char(1)                                 yes
soh_masttype         char(1)                                 yes
soh_autoproc         char(1)                                 yes
soh_code1            char(5)                                 yes
soh_code2            char(5)                                 yes
soh_code3            char(5)                                 yes
soh_credcont         char(4)                                 yes
soh_maxdel           smallint                                yes
soh_deltot           smallint                                yes
soh_pickpri          smallint                                yes
soh_nopick           char(1)                                 yes
soh_deldays          char(7)                                 yes
soh_pigrp            char(3)                                 yes
soh_ackmeth          char(1)                                 yes
soh_serlev           char(4)                                 yes
soh_leaseacc         char(10)                                yes
soh_leaseord         char(1)                                 yes
soh_leaseref         char(25)                                yes

