

Column name          Type                                    Nulls

sos_account          char(10)                                yes
sos_ordref           char(8)                                 yes
sos_ordver           smallint                                yes
sos_userid           char(4)                                 yes
sos_deladd           char(4)                                 yes
sos_cusref           char(25)                                yes
sos_repcode          char(4)                                 yes
sos_area             char(4)                                 yes
sos_plist            char(1)                                 yes
sos_cdisc            char(1)                                 yes
sos_orddate          date                                    yes
sos_ordtype          char(1)                                 yes
sos_reqdate          date                                    yes
sos_status           char(1)                                 yes
sos_stloc            char(5)                                 yes
sos_altloc           char(5)                                 yes
sos_neword           char(1)                                 yes
sos_delname          char(40)                                yes
sos_delad1           char(30)                                yes
sos_delad2           char(30)                                yes
sos_delad3           char(30)                                yes
sos_delad4           char(30)                                yes
sos_delad5           char(30)                                yes
sos_delpost          char(10)                                yes
sos_nextsuf          smallint                                yes
sos_acknow           char(1)                                 yes
sos_despfl           char(1)                                 yes
sos_partdel          char(1)                                 yes
sos_deltyp           char(1)                                 yes
sos_comdel           char(1)                                 yes
sos_invflag          char(1)                                 yes
sos_partinv          char(1)                                 yes
sos_ndcode           char(10)                                yes
sos_ordval           float                                   yes
sos_outvat           float                                   yes
sos_ordwght          float                                   yes
sos_ordcost          float                                   yes
sos_invval           float                                   yes
sos_export           char(1)                                 yes
sos_trcode           char(1)                                 yes
sos_transp           char(30)                                yes
sos_vanarea          char(4)                                 yes
sos_class            char(4)                                 yes
sos_sepinvord        char(1)                                 yes
sos_spinvdel         char(1)                                 yes
sos_currency         char(4)                                 yes
sos_terms            char(4)                                 yes
sos_lbulkref         integer                                 yes
sos_repnum           smallint                                yes
sos_reptim           char(1)                                 yes
sos_repint           smallint                                yes
sos_repday           smallint                                yes
sos_stopcode         char(1)                                 yes
sos_fwdflag          char(1)                                 yes
sos_payval           float                                   yes
sos_invform          char(8)                                 yes
sos_ordpri           char(1)                                 yes
sos_txregno          char(15)                                yes
sos_cvrate           float                                   yes
sos_stockdate        date                                    yes
sos_numacknow        smallint                                yes
sos_div              char(4)                                 yes
sos_origval          float                                   yes
sos_ediinv           char(1)                                 yes
sos_deltel           char(20)                                yes
sos_valdate          date                                    yes
sos_xchgrate         float                                   yes
sos_xchgvar          float                                   yes
sos_taxstat          char(1)                                 yes
sos_loadno           integer                                 yes
sos_extstat          char(1)                                 yes
sos_usesched         char(1)                                 yes
sos_wt               char(2)                                 yes
sos_job              char(10)                                yes
sos_subcode          char(4)                                 yes
sos_delfax           char(20)                                yes
sos_delcon           char(30)                                yes
sos_tpacks           float                                   yes
sos_author           char(4)                                 yes
sos_master           char(1)                                 yes
sos_mastord          char(8)                                 yes
sos_source           char(8)                                 yes
sos_custconf         char(1)                                 yes
sos_cocreq           char(1)                                 yes
sos_ref1             char(15)                                yes
sos_ref2             char(15)                                yes
sos_pdate            char(1)                                 yes
sos_delterm          char(3)                                 yes
sos_origref          char(8)                                 yes
sos_qtestatus        char(1)                                 yes
sos_qtedate          date                                    yes
sos_reason           char(1)                                 yes
sos_odisct           char(1)                                 yes
sos_odscc            char(10)                                yes
sos_company          char(4)                                 yes
sos_cusndcode        char(10)                                yes
sos_cragtyp          char(6)                                 yes
sos_crprov           char(2)                                 yes
sos_authref          char(12)                                yes
sos_antcode          integer                                 yes
sos_invvat           float                                   yes
sos_paymeth          char(1)                                 yes
sos_masttype         char(1)                                 yes
sos_autoproc         char(1)                                 yes
sos_code1            char(5)                                 yes
sos_code2            char(5)                                 yes
sos_code3            char(5)                                 yes
sos_credcont         char(1)                                 yes
sos_maxdel           smallint                                yes
sos_deltot           smallint                                yes
sos_pickpri          smallint                                yes
sos_pigrp            char(3)                                 yes
sos_ackmeth          char(1)                                 yes
sos_serlev           char(4)                                 yes
sos_leaseacc         char(10)                                yes
sos_leaseord         char(1)                                 yes

