

Column name          Type                                    Nulls

soi_ordref           char(8)                                 yes
soi_seq              smallint                                yes
soi_linseq           smallint                                yes
soi_ittype           char(1)                                 yes
soi_itstk            char(1)                                 yes
soi_product          char(40)                                yes
soi_desc             char(40)                                yes
soi_itqty            float                                   yes
soi_price            float                                   yes
soi_per              float                                   yes
soi_uom              char(1)                                 yes
soi_convert          float                                   yes
soi_itstat           char(1)                                 yes
soi_ndeldat          date                                    yes
soi_weight           float                                   yes
soi_vol              float                                   yes
soi_invval           float                                   yes
soi_itcost           float                                   yes
soi_cossal           float                                   yes
soi_bulkref          integer                                 yes
soi_discper          float                                   yes
soi_suffix           smallint                                yes
soi_lineref          smallint                                yes
soi_pdisc            float                                   yes
soi_gdisc            float                                   yes
soi_odisc            float                                   yes
soi_stloc            char(5)                                 yes
soi_psource          char(1)                                 yes
soi_vatcode          char(1)                                 yes
soi_invref           char(8)                                 yes
soi_secref           char(8)                                 yes
soi_delref           char(8)                                 yes
soi_poline           integer                                 yes
soi_batch            integer                                 yes
soi_bin              char(10)                                yes
soi_custprod         char(40)                                yes
soi_claim            integer                                 yes
soi_quotref          char(8)                                 yes
soi_stockdate        date                                    yes
soi_reqdate          date                                    yes
soi_comdt1           date                                    yes
soi_comdt2           date                                    yes
soi_valudisc         float                                   yes
soi_adjqty           float                                   yes
soi_entqty           float                                   yes
soi_basepri          float                                   yes
soi_spdisc           float                                   yes
soi_stopcode         char(1)                                 yes
soi_clmval           float                                   yes
soi_invdate          date                                    yes
soi_loadno           integer                                 yes
soi_extstat          char(1)                                 yes
soi_usesched         char(1)                                 yes
soi_tcode            integer                                 yes
soi_cprice           char(1)                                 yes
soi_time             float                                   yes
soi_atype            char(1)                                 yes
soi_wotype           char(1)                                 yes
soi_parent           smallint                                yes
soi_despdate         date                                    yes
soi_desaudit         integer                                 yes
soi_mastline         smallint                                yes
soi_reack            char(1)                                 yes
soi_cusloc           char(10)                                yes
soi_cusitem          char(6)                                 yes
soi_itweight         float                                   yes
soi_nettpri          char(1)                                 yes
soi_gdisct           char(1)                                 yes
soi_gdscc            char(10)                                yes
soi_upcossal         float                                   yes
soi_rep              char(4)                                 yes
soi_billdate         date                                    yes
soi_pickqty          float                                   yes
soi_smwt             char(2)                                 yes
soi_smjob            char(10)                                yes
soi_smline           integer                                 yes
soi_linkcurr         char(5)                                 yes
soi_cstbasis         float                                   yes
soi_linkrate         float                                   yes
soi_uplinkvar        float                                   yes
soi_lolinkvar        float                                   yes
soi_curradj          float                                   yes
soi_unres            char(1)                                 yes
soi_vanarea          char(4)                                 yes
soi_rmaref           char(8)                                 yes
soi_supplier         char(10)                                yes
soi_branch           char(4)                                 yes
soi_potype           char(1)                                 yes
soi_costex           char(1)                                 yes
soi_xcode1           char(5)                                 yes
soi_xcode2           char(5)                                 yes
soi_xcode3           char(5)                                 yes
soi_canqty           float                                   yes
soi_pigrp            char(3)                                 yes
soi_waction          smallint                                yes

