

Column name          Type                                    Nulls

soz_ordref           char(8)                                 yes
soz_seq              smallint                                yes
soz_linseq           smallint                                yes
soz_ittype           char(1)                                 yes
soz_itstk            char(1)                                 yes
soz_product          char(40)                                yes
soz_desc             char(40)                                yes
soz_itqty            float                                   yes
soz_price            float                                   yes
soz_per              float                                   yes
soz_uom              char(1)                                 yes
soz_convert          float                                   yes
soz_itstat           char(1)                                 yes
soz_ndeldat          date                                    yes
soz_weight           float                                   yes
soz_vol              float                                   yes
soz_invval           float                                   yes
soz_itcost           float                                   yes
soz_cossal           float                                   yes
soz_bulkref          integer                                 yes
soz_discper          float                                   yes
soz_suffix           smallint                                yes
soz_lineref          smallint                                yes
soz_pdisc            float                                   yes
soz_gdisc            float                                   yes
soz_odisc            float                                   yes
soz_stloc            char(5)                                 yes
soz_psource          char(1)                                 yes
soz_vatcode          char(1)                                 yes
soz_invref           char(8)                                 yes
soz_secref           char(8)                                 yes
soz_delref           char(8)                                 yes
soz_poline           integer                                 yes
soz_batch            integer                                 yes
soz_bin              char(10)                                yes
soz_custprod         char(40)                                yes
soz_claim            integer                                 yes
soz_quotref          char(8)                                 yes
soz_stockdate        date                                    yes
soz_reqdate          date                                    yes
soz_comdt1           date                                    yes
soz_comdt2           date                                    yes
soz_valudisc         float                                   yes
soz_adjqty           float                                   yes
soz_entqty           float                                   yes
soz_basepri          float                                   yes
soz_spdisc           float                                   yes
soz_stopcode         char(1)                                 yes
soz_clmval           float                                   yes
soz_invdate          date                                    yes
soz_loadno           integer                                 yes
soz_extstat          char(1)                                 yes
soz_usesched         char(1)                                 yes
soz_tcode            integer                                 yes
soz_cprice           char(1)                                 yes
soz_time             float                                   yes
soz_atype            char(1)                                 yes
soz_parent           smallint                                yes
soz_mastline         smallint                                yes
soz_reack            char(1)                                 yes
soz_cusloc           char(10)                                yes
soz_cusitem          char(6)                                 yes
soz_itweight         float                                   yes
soz_nettpri          char(1)                                 yes
soz_gdisct           char(1)                                 yes
soz_gdscc            char(10)                                yes
soz_upcossal         float                                   yes
soz_rep              char(4)                                 yes
soz_billdate         date                                    yes
soz_smwt             char(2)                                 yes
soz_smjob            char(10)                                yes
soz_smline           integer                                 yes
soz_linkcurr         char(5)                                 yes
soz_cstbasis         float                                   yes
soz_linkrate         float                                   yes
soz_uplinkvar        float                                   yes
soz_lolinkvar        float                                   yes
soz_curradj          float                                   yes
soz_vanarea          char(4)                                 yes
soz_rmaref           char(8)                                 yes
soz_supplier         char(10)                                yes
soz_branch           char(4)                                 yes
soz_potype           char(1)                                 yes
soz_costex           char(1)                                 yes
soz_xcode1           char(5)                                 yes
soz_xcode2           char(5)                                 yes
soz_xcode3           char(5)                                 yes
soz_pigrp            char(3)                                 yes

