

Column name          Type                                    Nulls

sop_crlchk           char(1)                                 yes
sop_profchk          char(1)                                 yes
sop_numord           smallint                                yes
sop_bupk             char(1)                                 yes
sop_vansch           char(1)                                 yes
sop_compl            char(1)                                 yes
sop_quotes           char(1)                                 yes
sop_nolabs           smallint                                yes
sop_ordpre           char(4)                                 yes
sop_ordnum           integer                                 yes
sop_ordgen           char(1)                                 yes
sop_inpre            char(4)                                 yes
sop_invno            integer                                 yes
sop_crdpre           char(4)                                 yes
sop_crdno            integer                                 yes
sop_fwdnum           smallint                                yes
sop_caloff           char(1)                                 yes
sop_hisper           smallint                                yes
sop_overser          smallint                                yes
sop_bulkser          smallint                                yes
sop_delused          char(1)                                 yes
sop_lstused          char(1)                                 yes
sop_specused         char(1)                                 yes
sop_specdisp         char(1)                                 yes
sop_orddisinc        char(1)                                 yes
sop_dumkey           char(1)                                 yes
sop_retall           char(1)                                 yes
sop_acreate          char(1)                                 yes
sop_prover           char(1)                                 yes
sop_incv             char(1)                                 yes
sop_bank             char(10)                                yes
sop_quotlife         smallint                                yes
sop_quotact          smallint                                yes
sop_quothist         char(1)                                 yes
sop_onepick          char(1)                                 yes
sop_oneloc           char(1)                                 yes
sop_partdel          char(1)                                 yes
sop_undelp           char(1)                                 yes
sop_delpck           char(1)                                 yes
sop_repdel           char(1)                                 yes
sop_deltyp           char(1)                                 yes
sop_comdel           char(1)                                 yes
sop_partinv          char(1)                                 yes
sop_bckord           char(1)                                 yes
sop_dirord           char(1)                                 yes
sop_repeat           char(1)                                 yes
sop_bbord            char(1)                                 yes
sop_poalloc          char(1)                                 yes
sop_invdir           char(1)                                 yes
sop_acknow           char(1)                                 yes
sop_profit           char(1)                                 yes
sop_qtytrd           char(1)                                 yes
sop_carcode          char(40)                                yes
sop_carperc          float                                   yes
sop_maxchg           float                                   yes
sop_minchg           float                                   yes
sop_carexmt          float                                   yes
sop_carmult          char(1)                                 yes
sop_bulkord          char(1)                                 yes
sop_sepinvord        char(1)                                 yes
sop_spinvdel         char(1)                                 yes
sop_profdis          char(1)                                 yes
sop_lstep            smallint                                yes
sop_menudef          char(1)                                 yes
sop_autodel          char(1)                                 yes
sop_stalloc          char(1)                                 yes
sop_overcom          char(1)                                 yes
sop_overdue          smallint                                yes
sop_minordv          float                                   yes
sop_cashpay          char(1)                                 yes
sop_autohold         char(1)                                 yes
sop_hlorder          char(1)                                 yes
sop_hlstop           char(1)                                 yes
sop_hlstat           char(1)                                 yes
sop_hlmail           char(1)                                 yes
sop_neword           char(1)                                 yes
sop_vatincl          char(1)                                 yes
sop_incllst          char(1)                                 yes
sop_ovdel            float                                   yes
sop_candel           float                                   yes
sop_pttable          char(10)                                yes
sop_impstat          char(1)                                 yes
sop_btprin           char(1)                                 yes
sop_multiform        char(1)                                 yes
sop_dfltform         char(8)                                 yes
sop_trlate           char(1)                                 yes
sop_wocreat          char(1)                                 yes
sop_adjtercod        char(4)                                 yes
sop_subarep          char(1)                                 yes
sop_maxtax           char(1)                                 yes
sop_vatlist          char(1)                                 yes
sop_amendlim         float                                   yes
sop_sdpre            char(4)                                 yes
sop_sdno             integer                                 yes
sop_prdlead          char(1)                                 yes
sop_ordlead          smallint                                yes
sop_commdates        char(1)                                 yes
sop_localret         char(1)                                 yes
sop_chkdate          char(1)                                 yes
sop_dlvcode          char(40)                                yes
sop_sdglacc          char(15)                                yes
sop_ppglacc          char(15)                                yes
sop_dact1            char(15)                                yes
sop_dact2            char(15)                                yes
sop_autoret          char(1)                                 yes
sop_retnpad          char(8)                                 yes
sop_retpre           char(4)                                 yes
sop_retno            integer                                 yes
sop_retdays          integer                                 yes
sop_sorvaltab        char(9)                                 yes
sop_sodates          char(1)                                 yes
sop_plistsel         char(1)                                 yes
sop_flatmult         char(1)                                 yes
sop_notepad          char(10)                                yes
sop_extsched         char(1)                                 yes
sop_nxtload          integer                                 yes
sop_extstat          char(15)                                yes
sop_extsel           char(1)                                 yes
sop_inext            char(1)                                 yes
sop_retext           char(1)                                 yes
sop_schedat          char(1)                                 yes
sop_ccused           char(1)                                 yes
sop_ciused           char(1)                                 yes
sop_edipo            char(1)                                 yes
sop_sdchge           char(1)                                 yes
sop_sdedi            char(1)                                 yes
sop_extlock          char(1)                                 yes
sop_flatused         char(1)                                 yes
sop_pdgtot           char(1)                                 yes
sop_gross            char(1)                                 yes
sop_packmult         char(1)                                 yes
sop_deblink          char(1)                                 yes
sop_usecpc           char(1)                                 yes
sop_nxtaudit         integer                                 yes
sop_reprice          char(1)                                 yes
