

Column name          Type                                    Nulls

sopb_custref         char(1)                                 yes
sopb_key             char(1)                                 yes
sopb_igquery         char(1)                                 yes
sopb_hldisc          char(1)                                 yes
sopb_uplcost         char(1)                                 yes
sopb_resmast         char(1)                                 yes
sopb_resall          char(1)                                 yes
sopb_repres          char(1)                                 yes
sopb_sapoints        char(1)                                 yes
sopb_allseq          char(1)                                 yes
sopb_oswitch         smallint                                yes
sopb_freecalc        char(1)                                 yes
sopb_defcomdt        char(1)                                 yes
sopb_lineallc        char(1)                                 yes
sopb_pickchng        char(1)                                 yes
sopb_combpck         char(1)                                 yes
sopb_exptype         char(10)                                yes
sopb_so06hs          char(10)                                yes
sopb_so07hs          char(10)                                yes
sopb_invedi          char(1)                                 yes
sopb_addlab          char(1)                                 yes
sopb_prichg          char(1)                                 yes
sopb_comhed          char(1)                                 yes
sopb_demand          char(1)                                 yes
sopb_nofwddem        char(1)                                 yes
sopb_demdate         char(1)                                 yes
sopb_summdets        char(1)                                 yes
sopb_convstk         char(1)                                 yes
sopb_edicred         char(1)                                 yes
sopb_orddate         char(1)                                 yes
sopb_wincv           char(1)                                 yes
sopb_linkinvp        char(1)                                 yes
sopb_linkadj         char(1)                                 yes
sopb_linkdef         char(1)                                 yes
sopb_pocomcopy       char(1)                                 yes
sopb_comvan          char(1)                                 yes
sopb_invcomb         char(1)                                 yes
sopb_comarea         char(1)                                 yes
sopb_comrep          char(1)                                 yes
sopb_comclass        char(1)                                 yes
sopb_purgepay        char(1)                                 yes
sopb_paycdef         char(1)                                 yes
sopb_payqdef         char(1)                                 yes
sopb_payodef         char(1)                                 yes
sopb_refcdef         char(1)                                 yes
sopb_refqdef         char(1)                                 yes
sopb_refodef         char(1)                                 yes
sopb_refbank         char(10)                                yes
sopb_refcard         char(16)                                yes
sopb_alldays         smallint                                yes
sopb_snewallc        char(1)                                 yes
sopb_supdallc        char(1)                                 yes
sopb_sfwdallc        char(1)                                 yes
sopb_isalint         smallint                                yes
sopb_sdcopy          char(1)                                 yes
sopb_hlused          char(1)                                 yes
sopb_sdunlkre        char(1)                                 yes
sopb_brwcode         char(1)                                 yes
sopb_qtecost         char(1)                                 yes
sopb_mastlim         smallint                                yes
sopb_newsale         char(1)                                 yes
sopb_newhold         char(1)                                 yes
sopb_bucheck         char(1)                                 yes
sopb_bucust          char(1)                                 yes
sopb_defreq          char(1)                                 yes
sopb_prcexd          char(1)                                 yes
sopb_reslead         char(1)                                 yes
sopb_fwpick          char(1)                                 yes
sopb_dayearl         smallint                                yes
sopb_dsort1          char(1)                                 yes
sopb_dsort2          char(1)                                 yes
sopb_isort1          char(1)                                 yes
sopb_isort2          char(1)                                 yes
sopb_cpbrow          char(1)                                 yes
sopb_cpsbrow         char(1)                                 yes
sopb_cpdate          char(1)                                 yes
sopb_pickmin         float                                   yes
sopb_pickmf          char(1)                                 yes
sopb_margnd          char(1)                                 yes
sopb_tpcalc          char(1)                                 yes
sopb_zcospost        char(1)                                 yes
sopb_forceser        char(1)                                 yes
sopb_relperd         smallint                                yes
sopb_codcharge       char(15)                                yes
sopb_ackediver       char(2)                                 yes
sopb_dlvperc         float                                   yes
sopb_pridisc         char(1)                                 yes
sopb_ackprefix       char(4)                                 yes
sopb_workflow        char(1)                                 yes
sopb_hlevent         char(1)                                 yes
sopb_singdel         char(1)                                 yes
sopb_cprint          char(1)                                 yes
sopb_reco            char(1)                                 yes
sopb_reci            char(1)                                 yes
sopb_onedel          char(1)                                 yes
sopb_termhold        char(1)                                 yes
sopb_futnum          smallint                                yes
sopb_sallevel        smallint                                yes
sopb_misccost        char(15)                                yes
sopb_leasehld        char(1)                                 yes
sopb_leasechhl       char(1)                                 yes
sopb_actdconf        char(1)                                 yes
sopb_bpckord         char(1)                                 yes
sopb_onerec          char(1)                                 yes
sopb_so06chg         char(1)                                 yes

