

Column name          Type                                    Nulls

stpar_key            char(1)                                 yes
stpar_coid           char(4)                                 yes
stpar_method         char(1)                                 yes
stpar_negative       char(1)                                 yes
stpar_proof          smallint                                yes
stpar_proofreq       char(1)                                 yes
stpar_costuse        char(1)                                 yes
stpar_nmovret        smallint                                yes
stpar_bmovret        smallint                                yes
stpar_batret         smallint                                yes
stpar_docpre         char(4)                                 yes
stpar_docnum         integer                                 yes
stpar_usage          char(1)                                 yes
stpar_uskeep         smallint                                yes
stpar_uspury         smallint                                yes
stpar_uspurp         smallint                                yes
stpar_mpurge         date                                    yes
stpar_maxser         smallint                                yes
stpar_proofuse       char(1)                                 yes
stpar_lstep          smallint                                yes
stpar_fwdper         smallint                                yes
stpar_reqpri         char(1)                                 yes
stpar_reqret         smallint                                yes
stpar_maxstat        char(1)                                 yes
stpar_bulkser        integer                                 yes
stpar_defall         char(1)                                 yes
stpar_bulkord        char(1)                                 yes
stpar_serbreak       char(1)                                 yes
stpar_deftrbat       char(1)                                 yes
stpar_partall        char(1)                                 yes
stpar_autoresv       char(1)                                 yes
stpar_safebuff       smallint                                yes
stpar_safewind       smallint                                yes
stpar_parbat         char(1)                                 yes
stpar_futodet        char(1)                                 yes
stpar_warehouse      char(1)                                 yes
stpar_putex          char(1)                                 yes
stpar_pickbulk       char(1)                                 yes
stpar_batpref        char(4)                                 yes
stpar_batnum         integer                                 yes
stpar_bulkpord       char(1)                                 yes
stpar_catper         smallint                                yes
stpar_catval         char(1)                                 yes
stpar_master         char(4)                                 yes
stpar_currency       char(4)                                 yes
stpar_l1format       char(9)                                 yes
stpar_l2format       char(9)                                 yes
stpar_labwhen        char(2)                                 yes
stpar_labtype        char(2)                                 yes
stpar_islper         smallint                                yes
stpar_islmar         smallint                                yes
stpar_immfact        float                                   yes
stpar_totfact        float                                   yes
stpar_pickkey        char(5)                                 yes
stpar_lhigh          char(1)                                 yes
stpar_qldays         smallint                                yes
stpar_fhigh          char(1)                                 yes
stpar_mandint        smallint                                yes
stpar_demproc        char(1)                                 yes
stpar_daemonfrq      smallint                                yes
stpar_islcalc        char(1)                                 yes
stpar_aresheld       char(1)                                 yes
stpar_stpckno        integer                                 yes
stpar_stpckpre       char(4)                                 yes
stpar_mulstake       char(1)                                 yes
stpar_ststat         char(1)                                 yes
stpar_ccatper        smallint                                yes
stpar_pernum         smallint                                yes
stpar_cntresday      smallint                                yes
stpar_rdmreq         char(10)                                yes
stpar_whreqhld       char(1)                                 yes

